date,category,key,card_name,fee,기본_30만,기본_40만,기본_50만,기본_60만,기본_70만,기본_80만,기본_100만,기본_120만,기본_150만,기본_200만,프로모_30만,프로모_40만,프로모_50만,프로모_60만,프로모_70만,프로모_80만,프로모_100만,프로모_120만,프로모_150만,프로모_200만
2026-08-16,통신,LG헬로비전/[국민] KB국민카드 LG헬로비전 II 카드,[국민] KB국민카드 LG헬로비전 II 카드,"20,000원",19000,19000,19000,19000,21000,21000,21000,21000,21000,21000,,,,,,,,,,
2026-08-16,통신,LG헬로비전/[신한] LG헬로비전 신한카드,[신한] LG헬로비전 신한카드,,,19000,19000,19000,19000,20000,20000,20000,20000,20000,,,,,,,,,,
2026-08-16,통신,딜라이브/딜라이브 렌탈 플러스 하나카드,딜라이브 렌탈 플러스 하나카드,"18,000원",13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,,,,,,,,,,
2026-08-16,통신,딜라이브/더 심플 하나카드,더 심플 하나카드,"25,000원",,,,,,15000,15000,15000,15000,15000,,,,,,,,,,
2026-08-16,통신,딜라이브/KB국민 딜라이브 카드,KB국민 딜라이브 카드,"15,000원",,,,,17000,17000,17000,17000,17000,17000,,,,,,,,,,
2026-08-16,통신,유모바일/KB국민 U+유모바일 Ⅱ 카드,KB국민 U+유모바일 Ⅱ 카드,,7000,7000,7000,7000,11000,11000,11000,11000,11000,11000,19000,19000,19000,19000,20000,20000,20000,20000,20000,20000
2026-08-16,통신,유모바일/신한카드 알뜰More(알뜰모아),신한카드 알뜰More(알뜰모아),,,10000,10000,10000,15000,15000,15000,15000,15000,15000,,15000,15000,15000,20000,20000,20000,20000,20000,20000
2026-08-16,통신-할부형,LGU+/LG U+ 스마트플랜Plus 신한카드,LG U+ 스마트플랜Plus 신한카드,,,,,,,,,,,,,,,,,,,,,
2026-08-16,통신,LGU+/LG U+ 현대카드M Edition3(통신할인형2.0),LG U+ 현대카드M Edition3(통신할인형2.0),,,,15000,15000,15000,15000,25000,25000,25000,25000,,,,,,,,,,
2026-08-16,통신,LGU+/LG U+ 삼성카드,LG U+ 삼성카드,,7000,7000,7000,7000,10000,10000,10000,10000,10000,10000,,,,,,,,,,
2026-08-16,통신,LGU+/LG U+ 사장님 통할인 신한카드,LG U+ 사장님 통할인 신한카드,,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,
2026-08-16,통신,LGU+/NH올원 LG U+ 카드,NH올원 LG U+ 카드,,,,9000,9000,9000,9000,15000,15000,15000,15000,,,,,,,,,,
